68013,Lomas de Santa Rosa (Colonia)
68024,Lomas del Creston (Colonia)
68016,Lomas Panoramicas (Colonia)
68143,Los alamos I.V.O. (Fraccionamiento)
68143,Los alamos INFONAVIT (Fraccionamiento)
68274,Los angeles (Colonia)
68277,Los angeles (Ejido)
68277,Los angeles Uno (Ejido)
68278,Los Arcos (Ejido)
68010,Los Cedros (Fraccionamiento)
68275,Los Laureles (Colonia)
68050,Los Mangales (Fraccionamiento)
68033,Los Pinos (Fraccionamiento)
68080,Los Pirus (Fraccionamiento)
68028,Los Rios (Fraccionamiento)
68146,Luis Donaldo Colosio (Colonia)
68070,Luis Jimenez Figueroa (Colonia)
68023,Manuel Avila Camacho (Colonia)
68045,Manuel Sabino Crespo (Colonia)
68274,Manzana 47 y 48 A (Colonia)
68274,Manzana 48 B (Colonia)
68146,Margarita Maza 2a. Seccion (Colonia)
68146,Margarita Maza de Juarez (Colonia)
68033,Margaritas (Fraccionamiento)
68045,Martires del Rio Blanco (Colonia)
68090,Mercado de Abastos (Zona comercial)
68045,Microondas (Colonia)
68120,Miguel Aleman Valdez (Colonia)
68146,Miguel Hidalgo (Colonia)
68104,Militar (Unidad habitacional)
68278,Miravalle (Ejido)
68154,Moctezuma (Colonia)
68100,Modelo (Unidad habitacional)
68154,Monte Alban (Colonia)
68143,Montoya (Colonia)
68103,Morelos (Colonia)
68140,Netzahualcoyotl (Colonia)
68013,Neza Cubi (Colonia)
68034,Ninos Heroes (Fraccionamiento)
68128,Nuestra Senora Trinidad de las Huertas (Fraccionamiento)
68000,Oaxaca (Colonia)
68080,Obrera (Colonia)
68043,Ojo de Agua (Colonia)
68044,Olimpica (Colonia)
68010,Orquideas (Fraccionamiento)
68050,Papayo (Fraccionamiento)
68278,Paraje Caballetillo (Ejido)
68125,Paraje Campo Chico (Colonia)
68278,Paraje el Cerrito (Ejido)
68278,Paraje el Pando (Ejido)
68278,Paraje la Canoa (Ejido)
68276,Paraje la Cortina (Ejido)
68275,Paraje la Humedad (Colonia)
68278,Paraje la Loma (Ejido)
68276,Paraje la Maguellera (Ejido)
68275,Paraje la Trinidad (Ejido)
68276,Paraje los Guajes (Ejido)
68275,Paraje los Nogales (Ejido)
68276,Paraje Los Pretiles (Colonia)
68278,Paraje Pio V (Ojito de Agua) (Ejido)
68275,Paraje San Andres (Ejido)
68276,Paraje San Pedro (Ejido)
68275,Paraje Santa Maria (Ejido)
68278,Paraje Tierra Colorada (Ejido)
68276,Patria Nueva (Colonia)
68155,Pedregal del Sur (Colonia)
68154,Pintores (Colonia)
68120,Popular la Noria (Fraccionamiento)
68033,Popular Victoria (Fraccionamiento)
68080,Postal (Colonia)
68045,Poza del angel (Fraccionamiento)
68045,Pozas Arcas (Fraccionamiento)
68044,Presa San Felipe (Fraccionamiento)
68146,Presidente Juarez (Colonia)
68276,Presidentes de Mexico (Colonia)
68157,Primavera (Colonia)
68156,Progreso Parte Alta (Barrio)
68156,Progreso Parte Baja (Barrio)
68045,Providencia (Colonia)
68274,Pueblo Nuevo (Pueblo)
68277,Pueblo Nuevo Parte Alta (Pueblo)
68280,Rancho el Chilar (Rancheria)
68283,Rancho los Girasoles (Rancheria)
68140,Real Casa Blanca (Colonia)
68148,Real Casa Blanca (Residencial)
68023,Real de Candiani (Fraccionamiento)
68148,Real San Martin (Fraccionamiento)
68274,Reforestacion (Colonia)
68050,Reforma (Colonia)
68026,Residencial alamos (Residencial)
68044,Residencial del Rio San Felipe (Fraccionamiento)
68024,Residencial Ex-Hacienda de Guadalupe (Fraccionamiento)
68026,Residencial Puente de Piedra (Fraccionamiento)
68044,Residencial San Felipe (Fraccionamiento)
68010,Revolucion (Colonia)
68044,Ricardo Flores Magon (Colonia)
68025,Ricardo Flores Magon (Unidad habitacional)
68040,Rincon del Acueducto (Fraccionamiento)
68026,Rinconada (Fraccionamiento)
68278,Rio Dulce (Parte Alta) (Ejido)
68278,Rio Dulce (Parte Baja) (Ejido)
68044,Sabinos (Colonia)
68278,San Bernardo (Ejido)
68024,San Carlos (Fraccionamiento)
68026,San Felipe del Agua (Colonia)
68030,San Francisco (Colonia)
68276,San Isidro (Colonia)
68120,San Jose de la Noria (Fraccionamiento)
68153,San Juan Chapultepec (Colonia)
68023,San Luis Beltran (Colonia)
68140,San Martin Mexicapan (Colonia)
68274,San Rafael (Colonia)
68155,Santa Anita Parte Alta (Colonia)
68155,Santa Anita Parte Baja (Colonia)
68155,Santa Anita Parte Media (Colonia)
68034,Santa Maria (Colonia)
68039,Santa Rosa Panzacola (Colonia)
68043,Santo Tomas (Colonia)
68125,Satelite (Colonia)
68010,Sauces (Fraccionamiento)
68045,Sindicato Autonomo (Fraccionamiento)
68016,Solidaridad (Colonia)
68120,Surcos Largos (Colonia)
68043,Tierra Blanca (Colonia)
68080,Trinidad de las Huertas (Barrio)
68120,Trinidad de las Huertas (Fraccionamiento)
68276,Trinidad de Viguera (Colonia)
68010,Tulipanes (Fraccionamiento)
68033,Union (Colonia)
68050,Union y Progreso (Colonia)
68125,Valle de Los Lirios (Fraccionamiento)
68125,Valle Esmeralda (Fraccionamiento)
68156,Vicente Suarez (Colonia)
68033,Vicente Suarez (Colonia)
68070,Victoria (Fraccionamiento)
68027,Villa de Antequera (Fraccionamiento)
68034,Villa de Marquez (Fraccionamiento)
68026,Villa Frontu (Fraccionamiento)
68154,Villas de Monte Alban GEO (Fraccionamiento)
68028,Villas de San Luis (Fraccionamiento)
68143,Villas Montealban (Fraccionamiento)
68016,Vista Hermosa (Colonia)
68020,Volcanes (Colonia)
68040,Xochimilco (Barrio)
